Temperature,Humidity,Light,CO2,HR,Occupancy
23.31,28.53,466.50,1105.67,0.0050553040,1
23.29,28.70,464.00,1104.00,0.0050799164,1
23.29,28.70,467.00,1117.20,0.0050799164,1
23.29,28.68,467.75,1121.25,0.0050754553,1
23.29,28.62,466.50,1115.67,0.0050650462,1
23.29,28.66,459.00,1120.00,0.0050727786,1
23.29,28.55,464.00,1123.75,0.0050531506,1
23.29,28.60,470.00,1116.00,0.0050620723,1
23.27,28.60,464.00,1126.80,0.0050565270,1
23.20,28.42,464.00,1112.75,0.0050020157,1
23.23,28.50,449.00,1104.50,0.0050258312,1
23.29,28.50,464.00,1108.00,0.0050442292,1
23.22,28.63,462.33,1127.83,0.0050449226,1
23.20,28.60,469.00,1128.75,0.0050343992,1
23.20,28.65,469.00,1124.25,0.0050432719,1
23.20,28.62,469.00,1130.40,0.0050379482,1
23.20,28.70,464.00,1138.00,0.0050521449,1
23.20,28.70,456.50,1144.00,0.0050521449,1
23.20,28.72,457.00,1140.00,0.0050553393,1
23.20,28.79,450.25,1139.25,0.0050681170,1
23.20,28.79,446.00,1167.33,0.0050681170,1
23.14,28.79,451.60,1159.60,0.0050496184,1
23.15,28.89,454.75,1157.75,0.0050703906,1
23.15,28.89,448.00,1159.50,0.0050703906,1
23.18,28.83,444.00,1156.40,0.0050690344,1
23.12,28.95,444.00,1160.00,0.0050698095,1
23.14,28.96,444.00,1169.80,0.0050789717,1
23.10,29.00,444.00,1176.17,0.0050743621,1
23.10,29.08,444.00,1175.25,0.0050875928,1
23.10,28.92,444.00,1166.60,0.0050598972,1
23.10,27.93,444.00,1140.25,0.0048847835,1
23.06,27.77,444.00,1089.20,0.0048459789,1
23.02,27.56,435.00,1042.60,0.0047962840,1
23.01,27.82,432.00,1051.10,0.0048394351,1
23.00,28.08,429.00,1059.60,0.0048825379,1
23.00,27.96,429.00,1064.60,0.0048605176,1
22.98,27.91,429.00,1061.67,0.0048467415,1
23.00,27.93,429.00,1058.33,0.0048553778,1
23.00,28.02,429.00,1061.60,0.0048713815,1
22.98,28.07,429.00,1070.33,0.0048744542,1
22.95,28.10,429.00,1074.00,0.0048693812,1
23.00,28.10,429.00,1086.25,0.0048857506,1
22.96,28.20,429.00,1089.60,0.0048901280,1
22.97,28.10,429.00,1085.00,0.0048775598,1
22.95,28.13,429.00,1085.00,0.0048752028,1
23.00,28.20,429.00,1088.00,0.0049032746,1
22.95,28.20,429.00,1091.75,0.0048868462,1
23.00,28.13,429.00,1091.33,0.0048915918,1
22.91,28.10,429.00,1088.20,0.0048595829,1
22.89,28.10,429.00,1087.50,0.0048530603,1
22.89,27.96,432.00,1079.20,0.0048279975,1
22.87,27.84,432.75,1077.25,0.0048004764,1
22.87,27.68,439.00,1064.17,0.0047756842,1
22.87,27.60,429.00,1056.40,0.0047611983,1
22.89,27.60,432.75,1043.60,0.0047660453,1
22.82,27.45,432.75,1039.50,0.0047174223,1
22.84,27.37,436.50,1028.67,0.0047121995,1
22.79,27.37,438.00,1020.40,0.0046963904,1
22.79,27.20,444.00,1018.00,0.0046678606,1
22.79,27.17,435.43,1015.14,0.0046629206,1
22.79,27.07,434.00,1006.33,0.0046448080,1
22.79,27.02,432.00,1002.60,0.0046367401,1
22.77,26.93,438.00,993.20,0.0046167935,1
22.76,26.82,439.00,983.33,0.0045943146,1
22.70,26.75,432.00,976.20,0.0045655828,1
22.72,26.70,432.75,980.75,0.0045625693,1
22.70,26.68,434.00,971.33,0.0045534352,1
22.70,26.53,444.00,966.67,0.0045276518,1
22.70,26.46,444.00,963.00,0.0045156203,1
22.70,26.45,441.50,952.33,0.0045124692,1
22.70,26.34,444.00,948.00,0.0044944230,1
22.70,26.26,444.00,945.00,0.0044806742,1
22.70,26.20,441.00,941.60,0.0044703629,1
22.70,26.16,438.00,929.80,0.0044634890,1
22.70,26.02,441.00,923.80,0.0044394313,1
22.70,26.10,440.25,919.00,0.0044531783,1
22.70,26.00,439.00,918.25,0.0044359947,1
22.70,25.93,438.00,919.40,0.0044246539,1
22.70,25.93,439.00,927.33,0.0044233939,1
22.70,25.82,432.75,920.25,0.0044042074,1
22.68,25.77,432.00,902.40,0.0043914494,1
22.64,25.70,429.00,904.40,0.0043677176,1
22.60,25.58,429.00,897.00,0.0043363901,1
22.67,25.60,429.00,892.00,0.0043583832,1
22.60,25.53,433.50,882.50,0.0043278533,1
22.62,25.48,436.20,887.20,0.0043247721,1
22.63,25.55,442.50,889.25,0.0043387478,1
22.60,25.39,443.40,889.20,0.0043048052,1
22.65,25.42,438.00,880.75,0.0043231196,1
22.60,25.27,442.50,868.75,0.0042838926,1
22.60,25.22,439.80,861.00,0.0042754426,1
22.60,25.20,439.80,860.60,0.0042723699,1
22.60,25.20,435.50,864.00,0.0042723699,1
22.60,25.15,430.75,859.00,0.0042638349,1
22.60,25.14,440.60,854.40,0.0042621279,1
22.60,25.15,428.20,847.40,0.0042638349,1
22.60,25.04,432.20,837.20,0.0042450586,1
22.60,25.05,431.75,834.75,0.0042467655,1
22.60,25.06,429.20,832.40,0.0042484724,1
22.60,25.00,433.00,832.00,0.0042382312,1
22.60,25.00,433.00,836.25,0.0042382312,1
22.60,25.00,428.20,832.60,0.0042382312,1
22.60,25.03,428.25,821.50,0.0042424983,1
22.60,25.10,425.40,832.40,0.0042553001,1
22.60,25.08,429.20,832.40,0.0042518862,1
22.56,25.02,433.00,830.75,0.0042312842,1
22.58,25.08,433.00,821.50,0.0042466905,1
22.58,25.08,433.00,818.25,0.0042445403,1
22.56,24.91,433.00,819.80,0.0042128959,1
22.55,25.20,433.00,822.50,0.0042593281,1
22.60,24.92,433.00,818.00,0.0042241500,1
22.58,25.06,433.00,812.80,0.0042432809,1
22.57,24.91,433.00,816.50,0.0042139891,1
22.53,24.95,433.00,822.25,0.0042094946,1
22.54,24.89,433.00,825.00,0.0042040056,1
22.50,24.87,433.00,816.50,0.0041894920,1
22.50,24.92,433.00,811.50,0.0041983974,1
22.50,24.91,433.00,811.00,0.0041974079,1
22.56,24.81,433.00,812.20,0.0041955303,1
22.53,24.89,426.00,814.25,0.0042001506,1
22.52,24.98,430.20,824.00,0.0042134726,1
22.58,25.08,433.00,834.50,0.0042445403,1
22.60,25.00,433.00,837.00,0.0042382312,1
22.60,25.02,433.00,841.17,0.0042418887,1
22.60,25.04,433.00,845.33,0.0042455463,1
22.60,25.10,433.00,854.75,0.0042553001,1
22.60,25.10,428.33,850.33,0.0042553001,1
22.60,25.08,424.60,845.40,0.0042518862,1
22.60,25.17,433.00,854.33,0.0042666799,1
22.60,25.07,428.33,849.33,0.0042496104,0
22.60,25.20,422.50,853.00,0.0042723699,0
22.60,25.20,423.67,853.00,0.0042723699,0
22.54,25.16,424.60,852.00,0.0042499211,0
22.54,25.16,427.40,853.60,0.0042499211,0
22.54,25.14,421.80,845.60,0.0042465197,0
22.53,25.10,426.00,834.25,0.0042358292,0
22.50,25.04,421.80,826.40,0.0042191777,0
22.50,25.00,419.00,819.60,0.0042123922,0
22.50,25.00,419.00,829.60,0.0042123922,0
22.50,25.00,419.00,824.00,0.0042123922,0
22.50,24.91,419.00,814.20,0.0041974645,0
22.50,24.89,419.00,813.50,0.0041937327,0
22.50,24.89,419.00,813.80,0.0041937327,0
22.50,24.89,419.00,811.00,0.0041937327,0
22.48,24.87,419.00,804.60,0.0041847041,0
22.46,24.83,419.00,807.80,0.0041723082,0
22.50,24.86,419.00,802.33,0.0041880785,0
22.42,24.75,419.00,796.75,0.0041485664,0
22.46,24.81,419.00,794.40,0.0041689250,0
22.39,24.70,419.00,790.60,0.0041335865,0
22.42,24.72,419.00,789.75,0.0041443475,0
22.39,24.70,419.00,782.20,0.0041335865,0
22.39,24.72,419.00,772.25,0.0041373769,1
22.39,24.72,419.00,772.93,0.0041364644,1
22.39,24.71,419.00,773.60,0.0041355519,1
22.39,24.63,419.00,773.75,0.0041209520,1
22.39,24.75,416.20,771.80,0.0041426837,1
22.39,24.91,418.60,782.80,0.0041693029,1
22.39,25.25,415.00,796.50,0.0042254127,1
22.39,25.09,310.25,809.00,0.0041997155,1
22.39,25.00,0.00,805.50,0.0041841297,0
22.35,24.98,0.00,791.40,0.0041701963,0
22.32,25.00,0.00,779.33,0.0041670824,0
22.37,24.97,0.00,780.75,0.0041731035,0
22.32,24.89,0.00,781.75,0.0041465078,0
22.29,24.92,0.00,781.00,0.0041447670,0
22.29,24.91,0.00,778.40,0.0041438460,0
22.26,24.86,0.00,769.33,0.0041269876,0
22.25,24.85,0.00,766.50,0.0041243566,0
22.23,24.79,0.00,763.25,0.0041088414,0
22.26,24.82,0.00,762.33,0.0041214165,0
22.20,24.79,0.00,761.50,0.0041007373,0
22.20,24.79,0.00,761.00,0.0041007373,0
22.20,24.74,0.00,757.00,0.0040917459,0
22.20,24.79,0.00,752.33,0.0041007373,0
22.13,24.70,0.00,748.67,0.0040690837,0
22.10,24.70,0.00,746.25,0.0040607721,0
22.15,24.72,0.00,745.25,0.0040769798,0
22.10,24.70,0.00,740.67,0.0040607721,0
22.10,24.70,0.00,738.00,0.0040607721,0
22.13,24.70,0.00,732.67,0.0040690837,0
22.10,24.70,0.00,727.00,0.0040607721,0
22.10,24.68,0.00,716.00,0.0040566352,0
22.07,24.67,0.00,723.25,0.0040469710,0
22.07,24.67,0.00,718.33,0.0040469710,0
22.00,24.58,0.00,716.60,0.0040161928,0
21.98,24.60,0.00,714.00,0.0040140562,0
21.98,24.56,0.00,714.20,0.0040074872,0
21.95,24.60,0.00,715.00,0.0040059300,0
21.93,24.50,0.00,706.67,0.0039850516,0
21.89,24.50,0.00,706.00,0.0039760855,0
21.89,24.53,0.00,698.75,0.0039801687,0
21.89,24.50,0.00,692.50,0.0039760855,0
21.89,24.50,0.00,694.75,0.0039760855,0
21.82,24.42,0.00,697.25,0.0039443893,0
21.82,24.46,0.00,692.00,0.0039538651,0
21.79,24.39,0.00,691.00,0.0039338681,0
21.79,24.39,0.00,689.75,0.0039338681,0
21.79,24.39,0.00,689.00,0.0039338681,0
21.77,24.39,0.00,687.00,0.0039284295,0
21.77,24.37,0.00,679.75,0.0039243775,0
21.75,24.35,0.00,668.40,0.0039186917,0
21.70,24.29,0.00,665.67,0.0038960130,0
21.70,24.29,0.00,664.75,0.0038960130,0
21.70,24.29,0.00,668.00,0.0038960130,0
21.70,24.29,0.00,661.25,0.0038960130,0
21.64,24.24,0.00,658.20,0.0038729720,0
21.60,24.20,0.00,656.00,0.0038576732,0
21.60,24.20,0.00,654.80,0.0038576732,0
21.60,24.22,0.00,653.75,0.0038612821,0
21.50,24.26,0.00,650.33,0.0038435524,0
21.50,24.20,0.00,650.75,0.0038339879,0
21.55,24.20,0.00,648.25,0.0038458145,0
21.50,24.20,0.00,640.33,0.0038339879,0
21.50,24.20,0.00,638.00,0.0038339879,0
21.50,24.20,0.00,636.25,0.0038339879,0
21.50,24.20,0.00,636.33,0.0038339879,0
21.50,24.15,0.00,635.75,0.0038260177,0
21.50,24.18,0.00,635.50,0.0038300028,0
21.50,24.13,0.00,627.50,0.0038220327,0
21.50,24.15,0.00,626.25,0.0038260177,0
21.50,24.13,0.00,621.50,0.0038220327,0
21.50,24.10,0.00,621.75,0.0038180477,0
21.50,24.10,0.00,620.67,0.0038180477,0
21.50,24.10,0.00,617.00,0.0038180477,0
21.50,24.10,0.00,612.75,0.0038180477,0
21.47,24.08,0.00,614.50,0.0038076058,0
21.39,24.00,0.00,617.33,0.0037764194,0
21.43,23.93,0.00,614.25,0.0037733300,0
21.39,23.97,0.00,610.75,0.0037720660,0
21.39,23.92,0.00,603.00,0.0037633594,0
21.39,23.95,0.00,603.50,0.0037677127,0
21.37,23.89,0.00,602.00,0.0037532161,0
21.32,24.00,0.00,605.67,0.0037609249,0
21.34,23.97,0.00,604.50,0.0037604533,0
21.32,23.97,0.00,599.00,0.0037546588,0
21.36,24.00,0.00,600.00,0.0037686651,0
21.39,23.97,0.00,596.50,0.0037720660,0
21.32,23.89,0.00,597.50,0.0037416596,0
21.29,23.95,0.00,594.00,0.0037445458,0
21.29,23.97,0.00,590.50,0.0037488722,0
21.29,23.89,0.00,586.67,0.0037358931,0
21.29,23.93,0.00,588.00,0.0037416615,0
21.29,23.89,0.00,585.50,0.0037358931,0
21.29,23.89,0.00,584.50,0.0037358931,0
21.25,23.85,0.00,587.20,0.0037213245,0
21.23,23.82,0.00,585.00,0.0037116368,0
21.22,23.81,0.00,579.40,0.0037068003,0
21.20,23.79,0.00,579.33,0.0036995548,0
21.20,23.79,0.00,581.60,0.0036995548,0
21.20,23.79,0.00,581.67,0.0036995548,0
21.20,23.79,0.00,577.50,0.0036995548,0
21.20,23.79,0.00,577.33,0.0036995548,0
21.20,23.77,0.00,574.25,0.0036960351,0
21.20,23.75,0.00,569.00,0.0036925154,0
21.20,23.76,0.00,565.33,0.0036948618,0
21.20,23.70,0.00,561.40,0.0036854761,0
21.20,23.79,0.00,567.33,0.0036995548,0
21.18,23.70,0.00,565.33,0.0036797917,0
21.17,23.70,0.00,563.50,0.0036778986,0
21.13,23.68,0.00,559.00,0.0036645535,0
21.10,23.65,0.00,559.50,0.0036550119,0
21.13,23.65,0.00,550.50,0.0036606611,0
21.10,23.60,0.00,553.00,0.0036472393,0
21.13,23.60,0.00,552.00,0.0036547572,0
21.10,23.60,0.00,553.25,0.0036472393,0
21.10,23.60,0.00,545.75,0.0036472393,0
21.10,23.60,0.00,548.00,0.0036472393,0
21.10,23.60,0.00,547.00,0.0036472393,0
21.10,23.58,0.00,545.75,0.0036433531,0
21.10,23.53,0.00,544.00,0.0036368761,0
21.10,23.47,0.00,545.50,0.0036274200,0
21.10,23.47,0.00,547.00,0.0036274200,0
21.10,23.50,0.00,545.25,0.0036316947,0
21.10,23.50,0.00,541.25,0.0036316947,0
21.13,23.50,0.00,540.75,0.0036373076,0
21.10,23.50,0.00,533.33,0.0036316947,0
21.13,23.50,0.00,528.00,0.0036391803,0
21.10,23.39,0.00,537.75,0.0036149851,0
21.10,23.47,0.00,539.50,0.0036274200,0
21.10,23.50,0.00,535.25,0.0036316947,0
21.10,23.50,0.00,537.25,0.0036316947,0
21.10,23.50,0.00,535.25,0.0036316947,0
21.10,23.50,0.00,533.40,0.0036316947,0
21.10,23.50,0.00,524.50,0.0036316947,0
21.10,23.43,0.00,524.80,0.0036214357,0
21.10,23.39,0.00,522.67,0.0036145965,0
21.10,23.39,0.00,521.00,0.0036145965,0
21.13,23.39,0.00,519.75,0.0036201828,0
21.10,23.39,0.00,523.00,0.0036145965,0
21.10,23.39,0.00,523.00,0.0036145965,0
21.10,23.39,0.00,519.00,0.0036145965,0
21.10,23.37,0.00,519.50,0.0036107107,0
21.10,23.39,0.00,519.75,0.0036145965,0
21.10,23.37,0.00,520.00,0.0036107107,0
21.10,23.33,0.00,524.60,0.0036052706,0
21.08,23.32,0.00,520.25,0.0035973785,0
21.08,23.34,0.00,519.00,0.0036012582,0
21.10,23.29,0.00,523.20,0.0035990535,0
21.03,23.29,0.00,517.67,0.0035842579,0
21.02,23.29,0.00,514.20,0.0035813052,0
21.03,23.29,0.00,516.50,0.0035824122,0
21.00,23.29,0.00,521.00,0.0035768802,0
21.00,23.29,0.00,520.00,0.0035768802,0
21.00,23.25,0.00,517.80,0.0035713196,0
21.00,23.26,0.00,514.33,0.0035722464,0
21.00,23.27,0.00,516.75,0.0035734048,0
21.00,23.29,0.00,520.75,0.0035768802,0
21.00,23.29,0.00,519.33,0.0035768802,0
21.00,23.29,0.00,519.00,0.0035768802,0
21.00,23.29,0.00,509.75,0.0035768802,0
21.00,23.29,0.00,508.50,0.0035768802,0
20.97,23.29,0.00,504.50,0.0035708038,0
21.00,23.29,0.00,506.50,0.0035768802,0
20.97,23.29,0.00,509.00,0.0035708038,0
20.96,23.29,0.00,507.25,0.0035687803,0
21.00,23.29,0.00,509.33,0.0035768802,0
20.89,23.20,0.00,509.67,0.0035388222,0
20.89,23.25,0.00,508.25,0.0035457254,0
20.89,23.22,0.00,510.25,0.0035422738,0
20.89,23.25,0.00,504.00,0.0035471061,0
20.89,23.26,0.00,499.33,0.0035480266,0
20.89,23.22,0.00,495.00,0.0035422738,0
20.89,23.20,0.00,496.25,0.0035388222,0
20.89,23.20,0.00,494.75,0.0035388222,0
20.89,23.20,0.00,492.50,0.0035388222,0
20.89,23.20,0.00,494.25,0.0035388222,0
20.89,23.20,0.00,492.33,0.0035388222,0
20.89,23.13,0.00,493.75,0.0035273172,0
20.89,23.13,0.00,484.75,0.0035273172,0
20.89,23.10,0.00,489.25,0.0035234823,0
20.89,23.10,0.00,494.50,0.0035234823,0
20.89,23.10,0.00,495.67,0.0035234823,0
20.89,23.10,0.00,501.50,0.0035234823,0
20.89,23.10,0.00,499.67,0.0035234823,0
20.89,23.10,0.00,492.50,0.0035234823,0
20.89,23.10,0.00,494.25,0.0035234823,0
20.89,23.10,0.00,494.00,0.0035234823,0
20.97,23.10,0.00,489.25,0.0035415072,0
20.92,23.10,0.00,490.00,0.0035294816,0
20.89,23.10,0.00,495.50,0.0035234823,0
20.89,23.05,0.00,498.00,0.0035158126,0
20.89,23.05,0.00,495.00,0.0035158126,0
20.91,23.00,0.00,490.20,0.0035129208,0
20.93,23.00,0.00,492.33,0.0035161091,0
20.89,23.00,0.00,491.67,0.0035081431,0
20.89,22.96,0.00,488.00,0.0035013941,0
20.93,22.93,0.00,488.00,0.0035075531,0
20.89,23.00,0.00,485.00,0.0035081431,0
20.89,23.00,0.00,490.00,0.0035081431,0
20.92,22.97,0.00,489.50,0.0035098908,0
20.89,22.95,0.00,485.25,0.0034997068,0
20.89,22.89,0.00,485.67,0.0034912708,0
20.92,22.95,0.00,485.00,0.0035056654,0
20.89,22.96,0.00,485.20,0.0035013941,0
20.95,22.89,0.00,484.00,0.0035031681,0
20.89,22.92,0.00,483.00,0.0034954888,0
20.89,22.89,0.00,481.00,0.0034912708,0
20.89,22.89,0.00,476.50,0.0034912708,0
20.89,22.89,0.00,475.00,0.0034912708,0
20.89,22.89,0.00,476.00,0.0034912708,0
20.89,22.89,0.00,478.50,0.0034912708,0
20.89,22.89,0.00,481.00,0.0034912708,0
20.89,22.89,0.00,483.00,0.0034912708,0
20.86,22.86,0.00,480.25,0.0034789757,0
20.89,22.89,0.00,480.25,0.0034912708,0
20.89,22.87,0.00,470.75,0.0034874363,0
20.89,22.89,0.00,474.75,0.0034912708,0
20.89,22.87,0.00,482.25,0.0034874363,0
20.89,22.89,0.00,480.33,0.0034912708,0
20.89,22.89,0.00,480.00,0.0034912708,0
20.89,22.84,0.00,481.50,0.0034836019,0
20.89,22.84,0.00,483.50,0.0034836019,0
20.89,22.79,0.00,475.60,0.0034759332,0
20.89,22.76,0.00,475.33,0.0034713321,0
20.89,22.82,0.00,477.67,0.0034797675,0
20.89,22.79,0.00,475.75,0.0034759332,0
20.89,22.79,0.00,479.17,0.0034759332,0
20.87,22.77,0.00,475.00,0.0034671155,0
20.87,22.77,0.00,474.00,0.0034671155,0
20.89,22.79,0.00,477.33,0.0034759332,0
20.89,22.79,0.00,473.00,0.0034759332,0
20.89,22.77,0.00,470.00,0.0034724823,0
20.87,22.68,0.00,468.75,0.0034529510,0
20.87,22.72,0.00,471.40,0.0034606059,0
20.89,22.70,0.00,471.00,0.0034621300,0
20.89,22.70,0.00,468.00,0.0034621300,0
20.85,22.68,0.00,468.60,0.0034502066,0
20.81,22.62,0.00,467.40,0.0034328250,0
20.79,22.60,0.00,469.00,0.0034255295,0
20.79,22.65,0.00,471.25,0.0034331499,0
20.82,22.73,0.00,470.67,0.0034524594,0
20.79,22.60,0.00,466.75,0.0034255295,0
20.79,22.64,0.00,466.80,0.0034316258,0
20.79,22.70,0.00,468.75,0.0034407706,0
20.79,22.65,0.00,467.50,0.0034331499,0
20.79,22.63,0.00,469.67,0.0034306098,0
20.79,22.70,0.00,469.75,0.0034407706,0
20.79,22.60,0.00,469.75,0.0034255295,0
20.79,22.60,0.00,467.25,0.0034255295,0
20.77,22.60,0.00,461.40,0.0034217142,0
20.79,22.60,0.00,469.25,0.0034255295,0
20.79,22.63,0.00,468.00,0.0034293397,0
20.73,22.60,0.00,469.00,0.0034128265,0
20.79,22.60,0.00,467.25,0.0034255295,0
20.79,22.60,0.00,467.40,0.0034255295,0
20.79,22.60,0.00,467.67,0.0034255295,0
20.75,22.60,0.00,471.50,0.0034159983,0
20.76,22.60,0.00,471.67,0.0034191728,0
20.72,22.60,0.00,464.75,0.0034112415,0
20.72,22.60,0.00,461.75,0.0034112415,0
20.72,22.60,0.00,458.50,0.0034112415,0
20.75,22.55,0.00,459.50,0.0034083994,0
20.72,22.55,0.00,460.50,0.0034036532,0
20.76,22.57,0.00,465.33,0.0034141021,0
20.72,22.50,0.00,465.00,0.0033960651,0
20.72,22.50,0.00,459.00,0.0033960651,0
20.77,22.50,0.00,463.00,0.0034055420,0
20.75,22.50,0.00,460.75,0.0034008007,0
20.70,22.50,0.00,461.50,0.0033913354,0
20.70,22.50,0.00,466.00,0.0033913354,0
20.77,22.50,0.00,460.25,0.0034055420,0
20.72,22.52,0.00,457.40,0.0033981531,0
20.70,22.50,0.00,464.60,0.0033913354,0
20.73,22.50,0.00,464.33,0.0033976430,0
20.70,22.50,0.00,459.33,0.0033913354,0
20.70,22.50,0.00,459.75,0.0033913354,0
20.72,22.50,0.00,459.25,0.0033960651,0
20.70,22.50,0.00,463.00,0.0033913354,0
20.72,22.45,0.00,461.50,0.0033877184,0
20.70,22.50,0.00,454.50,0.0033913354,0
20.70,22.50,0.00,458.33,0.0033913354,0
20.72,22.50,0.00,463.00,0.0033951187,0
20.70,22.50,0.00,463.75,0.0033913354,0
20.70,22.46,0.00,460.60,0.0033846674,0
20.70,22.50,0.00,455.25,0.0033913354,0
20.70,22.50,0.00,455.67,0.0033913354,0
20.70,22.50,0.00,456.25,0.0033913354,0
20.70,22.43,0.00,459.67,0.0033802221,0
20.70,22.50,0.00,462.00,0.0033913354,0
20.72,22.47,0.00,460.25,0.0033918917,0
20.72,22.43,0.00,462.00,0.0033851055,0
20.73,22.39,0.00,461.00,0.0033809420,0
20.70,22.39,0.00,461.67,0.0033746656,0
20.75,22.39,0.00,460.25,0.0033840841,0
20.72,22.37,0.00,456.25,0.0033755781,0
20.75,22.39,0.00,457.50,0.0033840841,0
20.77,22.37,0.00,455.80,0.0033867019,0
20.76,22.39,0.00,455.00,0.0033872287,0
20.77,22.37,0.00,451.25,0.0033849976,0
20.75,22.39,0.00,453.75,0.0033840841,0
20.74,22.39,0.00,456.20,0.0033821985,0
20.73,22.36,0.00,453.67,0.0033758813,0
20.70,22.34,0.00,452.75,0.0033670887,0
20.76,22.36,0.00,454.00,0.0033821585,0
20.75,22.39,0.00,452.50,0.0033840841,0
20.73,22.39,0.00,456.00,0.0033809420,0
20.75,22.34,0.00,451.50,0.0033764859,0
20.70,22.37,0.00,449.80,0.0033716348,0
20.70,22.37,0.00,449.25,0.0033708771,0
20.70,22.37,0.00,452.25,0.0033708771,0
20.72,22.34,0.00,451.25,0.0033717844,0
20.70,22.34,0.00,453.00,0.0033670887,0
20.70,22.39,0.00,453.25,0.0033746656,0
20.70,22.32,0.00,456.67,0.0033633003,0
20.70,22.29,0.00,455.75,0.0033595120,0
20.70,22.37,0.00,458.00,0.0033708771,0
20.70,22.34,0.00,458.75,0.0033670887,0
20.70,22.29,0.00,455.50,0.0033595120,0
20.70,22.29,0.00,455.00,0.0033595120,0
20.70,22.29,0.00,453.33,0.0033595120,0
20.70,22.33,0.00,454.60,0.0033655733,0
20.70,22.29,0.00,457.50,0.0033595120,0
20.70,22.29,0.00,449.67,0.0033595120,0
20.70,22.29,0.00,452.00,0.0033595120,0
20.70,22.29,0.00,453.50,0.0033595120,0
20.70,22.29,0.00,452.00,0.0033595120,0
20.70,22.29,0.00,450.60,0.0033595120,0
20.70,22.29,0.00,450.67,0.0033595120,0
20.70,22.29,0.00,451.00,0.0033595120,0
20.70,22.29,0.00,454.50,0.0033595120,0
20.70,22.29,0.00,457.25,0.0033595120,0
20.70,22.32,0.00,456.00,0.0033633003,0
20.68,22.29,0.00,456.50,0.0033543130,0
20.68,22.29,0.00,453.50,0.0033543130,0
20.70,22.29,0.00,454.25,0.0033595120,0
20.68,22.22,0.00,454.00,0.0033437224,0
20.68,22.27,0.00,451.00,0.0033509089,0
